인덱스,유형,QA
130,의료지원,"의료지원 시나리오 생성해줘
시간: 16:00
상황: 한 어린이가 해변에서 화상을 입었다.
절차: 1. 신고 접수: 신고자: 부모가 안전 요원에게 신고<br>신고 대상: 해양 경찰 응급 구조 센터<br>신고 내용: 화상 사고 발생, 위치 및 상태<br>시간 소요: 1분<br>
2. 초기 대응: 출동 인원: 해양 경찰 응급 의료팀 3명<br>준비 작업: 응급 처치 장비 준비 (냉각 장비, 소독제 등)<br>시간 소요: 2분<br>
3. 현장 도착: 도착 시간: 5분 이내<br>출동 경로: 해안에서 환자 위치까지 직선 경로<br>시간 소요: 2분<br>
4. 응급 처치: 처치 인원: 응급 의료팀 3명<br>처치 내용: 화상 부위 냉각 및 소독<br>시간 소요: 5분<br>
5. 환자 안정화: 처치 인원: 응급 의료팀 3명<br>처치 내용: 환자의 상태 확인 및 추가 처치<br>시간 소요: 3분<br>
6. 의료 이송: 이송 경로: 해변 응급처치소에서 병원으로 이송<br>이송 시간: 5분<br>추가 처치: 필요 시 추가 응급 처치 실시<br>
목표: 총 18분 이내에 화상 환자에 대한 응급 처치 및 병원 이송 완료"
131,의료지원,"의료지원 시나리오 생성해줘
시간: 12:00
상황: 한 관광객이 해변에서 넘어져 머리를 다쳤다.
절차: 1. 신고 접수: 신고자: 주변 사람들이 안전 요원에게 신고<br>신고 대상: 해양 경찰 응급 구조 센터<br>신고 내용: 머리 부상 발생, 위치 및 상태<br>시간 소요: 1분<br>
2. 초기 대응: 출동 인원: 해양 경찰 응급 의료팀 3명<br>준비 작업: 응급 처치 장비 준비 (붕대, 얼음팩 등)<br>시간 소요: 2분<br>
3. 현장 도착: 도착 시간: 5분 이내<br>출동 경로: 해안에서 환자 위치까지 직선 경로<br>시간 소요: 2분<br>
4. 응급 처치: 처치 인원: 응급 의료팀 3명<br>처치 내용: 머리 부위 냉각 및 붕대 감기<br>시간 소요: 5분<br>
5. 환자 안정화: 처치 인원: 응급 의료팀 3명<br>처치 내용: 환자의 부상 상태 확인<br>시간 소요: 3분<br>
6. 의료 이송: 이송 경로: 해변 응급처치소에서 병원으로 이송<br>이송 시간: 5분<br>추가 처치: 필요 시 추가 응급 처치 실시<br>
목표: 총 18분 이내에 머리 부상 환자에 대한 응급 처치 및 병원 이송 완료"
132,의료지원,"의료지원 시나리오 생성해줘
시간: 14:00
상황: 한 성인이 해변에서 탈수 증상을 보이고 있다.
절차: 1. 신고 접수: 신고자: 주변 사람들이 안전 요원에게 신고<br>신고 대상: 해양 경찰 응급 구조 센터<br>신고 내용: 탈수 증상 발생, 위치 및 상태<br>시간 소요: 1분<br>
2. 초기 대응: 출동 인원: 해양 경찰 응급 의료팀 3명<br>준비 작업: 수액 및 체온 조절 장비 준비<br>시간 소요: 2분<br>
3. 현장 도착: 도착 시간: 5분 이내<br>출동 경로: 해안에서 환자 위치까지 직선 경로<br>시간 소요: 2분<br>
4. 응급 처치: 처치 인원: 응급 의료팀 3명<br>처치 내용: 수액 공급 및 체온 조절<br>시간 소요: 5분<br>
5. 환자 안정화: 처치 인원: 응급 의료팀 3명<br>처치 내용: 환자의 상태 확인 및 추가 처치<br>시간 소요: 3분<br>
6. 의료 이송: 이송 경로: 해변 응급처치소에서 병원으로 이송<br>이송 시간: 5분<br>추가 처치: 필요 시 추가 응급 처치 실시<br>
목표: 총 18분 이내에 탈수 증상 환자에 대한 응급 처치 및 병원 이송 완료"
133,의료지원,"의료지원 시나리오 생성해줘
시간: 11:00
상황: 한 어린이가 해변에서 구토를 하고 있다.
절차: 1. 신고 접수: 신고자: 부모가 안전 요원에게 신고<br>신고 대상: 해양 경찰 응급 구조 센터<br>신고 내용: 구토 증상 발생, 위치 및 상태<br>시간 소요: 1분<br>
2. 초기 대응: 출동 인원: 해양 경찰 응급 의료팀 3명<br>준비 작업: 구토 관리 장비 준비<br>시간 소요: 2분<br>
3. 현장 도착: 도착 시간: 5분 이내<br>출동 경로: 해안에서 환자 위치까지 직선 경로<br>시간 소요: 2분<br>
4. 응급 처치: 처치 인원: 응급 의료팀 3명<br>처치 내용: 구토 관리 및 수액 공급<br>시간 소요: 5분<br>
5. 환자 안정화: 처치 인원: 응급 의료팀 3명<br>처치 내용: 환자의 상태 확인 및 추가 처치<br>시간 소요: 3분<br>
6. 의료 이송: 이송 경로: 해변 응급처치소에서 병원으로 이송<br>이송 시간: 5분<br>추가 처치: 필요 시 추가 응급 처치 실시<br>
목표: 총 18분 이내에 구토 증상 환자에 대한 응급 처치 및 병원 이송 완료"
134,의료지원,"의료지원 시나리오 생성해줘
시간: 12:00
상황: 한 성인이 해변에서 벌에 쏘여 알레르기 반응을 보이고 있다.
절차: 1. 신고 접수: 신고자: 주변 사람들이 안전 요원에게 신고<br>신고 대상: 해양 경찰 응급 구조 센터<br>신고 내용: 벌에 쏘임, 위치 및 상태<br>시간 소요: 1분<br>
2. 초기 대응: 출동 인원: 해양 경찰 응급 의료팀 4명<br>준비 작업: 응급 처치 장비 준비 (에피네프린 주사 등)<br>시간 소요: 2분<br>
3. 현장 도착: 도착 시간: 4분 이내<br>출동 경로: 해안에서 환자 위치까지 직선 경로<br>시간 소요: 2분<br>
4. 응급 처치: 처치 인원: 응급 의료팀 4명<br>처치 내용: 알레르기 반응 관리 및 벌침 제거<br>시간 소요: 5분<br>
5. 환자 안정화: 처치 인원: 응급 의료팀 4명<br>처치 내용: 환자의 상태 확인 및 추가 처치<br>시간 소요: 3분<br>
6. 의료 이송: 이송 경로: 해변 응급처치소에서 병원으로 이송<br>이송 시간: 4분<br>추가 처치: 필요 시 추가 응급 처치 실시<br>
목표: 총 17분 이내에 벌에 쏘임 환자에 대한 응급 처치 및 병원 이송 완료"
135,의료지원,"의료지원 시나리오 생성해줘
시간: 13:00
상황: 한 어린이가 해변에서 넘어져 팔을 다쳤다.
절차: 1. 신고 접수: 신고자: 부모가 안전 요원에게 신고<br>신고 대상: 해양 경찰 응급 구조 센터<br>신고 내용: 팔 부상, 위치 및 상태<br>시간 소요: 1분<br>
2. 초기 대응: 출동 인원: 해양 경찰 응급 의료팀 2명<br>준비 작업: 응급 처치 장비 준비 (붕대, 얼음팩 등)<br>시간 소요: 2분<br>
3. 현장 도착: 도착 시간: 5분 이내<br>출동 경로: 해안에서 환자 위치까지 직선 경로<br>시간 소요: 2분<br>
4. 응급 처치: 처치 인원: 응급 의료팀 2명<br>처치 내용: 팔 부위 냉각 및 붕대 감기<br>시간 소요: 5분<br>
5. 환자 안정화: 처치 인원: 응급 의료팀 2명<br>처치 내용: 환자의 부상 상태 확인<br>시간 소요: 2분<br>
6. 의료 이송: 이송 경로: 해변 응급처치소에서 병원으로 이송<br>이송 시간: 5분<br>추가 처치: 필요 시 추가 응급 처치 실시<br>
목표: 총 17분 이내에 팔 부상 환자에 대한 응급 처치 및 병원 이송 완료"
136,의료지원,"의료지원 시나리오 생성해줘
시간: 15:00
상황: 한 성인이 해변에서 심장마비 증상을 보이고 있다.
절차: 1. 신고 접수: 신고자: 주변 사람들이 안전 요원에게 신고<br>신고 대상: 해양 경찰 응급 구조 센터<br>신고 내용: 심장마비 증상 발생, 위치 및 상태<br>시간 소요: 1분<br>
2. 초기 대응: 출동 인원: 해양 경찰 응급 의료팀 5명<br>준비 작업: 심폐소생술 장비 준비<br>시간 소요: 2분<br>
3. 현장 도착: 도착 시간: 4분 이내<br>출동 경로: 해안에서 환자 위치까지 직선 경로<br>시간 소요: 2분<br>
4. 응급 처치: 처치 인원: 응급 의료팀 5명<br>처치 내용: 심폐소생술 및 자동 심장 충격기 사용<br>시간 소요: 5분<br>
5. 환자 안정화: 처치 인원: 응급 의료팀 5명<br>처치 내용: 환자의 상태 확인 및 추가 처치<br>시간 소요: 3분<br>
6. 의료 이송: 이송 경로: 해변 응급처치소에서 병원으로 이송<br>이송 시간: 4분<br>추가 처치: 필요 시 추가 응급 처치 실시<br>
목표: 총 17분 이내에 심장마비 환자에 대한 응급 처치 및 병원 이송 완료"
137,의료지원,"의료지원 시나리오 생성해줘
시간: 14:00
상황: 한 어린이가 해변에서 뱀에 물려 독사에 물린 증상을 보이고 있다.
절차: 1. 신고 접수: 신고자: 부모가 안전 요원에게 신고<br>신고 대상: 해양 경찰 응급 구조 센터<br>신고 내용: 독사에 물림, 위치 및 상태<br>시간 소요: 1분<br>
2. 초기 대응: 출동 인원: 해양 경찰 응급 의료팀 4명<br>준비 작업: 응급 처치 장비 준비 (해독제 등)<br>시간 소요: 2분<br>
3. 현장 도착: 도착 시간: 4분 이내<br>출동 경로: 해안에서 환자 위치까지 직선 경로<br>시간 소요: 2분<br>
4. 응급 처치: 처치 인원: 응급 의료팀 4명<br>처치 내용: 해독제 투여 및 응급 처치<br>시간 소요: 5분<br>
5. 환자 안정화: 처치 인원: 응급 의료팀 4명<br>처치 내용: 환자의 상태 확인 및 추가 처치<br>시간 소요: 3분<br>
6. 의료 이송: 이송 경로: 해변 응급처치소에서 병원으로 이송<br>이송 시간: 4분<br>추가 처치: 필요 시 추가 응급 처치 실시<br>
목표: 총 17분 이내에 독사에 물린 환자에 대한 응급 처치 및 병원 이송 완료"
138,의료지원,"의료지원 시나리오 생성해줘
시간: 12:00
상황: 한 성인이 해변에서 어지러움과 메스꺼움을 느끼고 있다.
절차: 1. 신고 접수: 신고자: 주변 사람들이 안전 요원에게 신고<br>신고 대상: 해양 경찰 응급 구조 센터<br>신고 내용: 어지러움 및 메스꺼움, 위치 및 상태<br>시간 소요: 1분<br>
2. 초기 대응: 출동 인원: 해양 경찰 응급 의료팀 3명<br>준비 작업: 응급 처치 장비 준비 (수액 등)<br>시간 소요: 2분<br>
3. 현장 도착: 도착 시간: 5분 이내<br>출동 경로: 해안에서 환자 위치까지 직선 경로<br>시간 소요: 2분<br>
4. 응급 처치: 처치 인원: 응급 의료팀 3명<br>처치 내용: 어지러움 및 메스꺼움 완화<br>시간 소요: 5분<br>
5. 환자 안정화: 처치 인원: 응급 의료팀 3명<br>처치 내용: 환자의 상태 확인 및 추가 처치<br>시간 소요: 3분<br>
6. 의료 이송: 이송 경로: 해변 응급처치소에서 병원으로 이송<br>이송 시간: 5분<br>추가 처치: 필요 시 추가 응급 처치 실시<br>
목표: 총 18분 이내에 어지러움 및 메스꺼움 환자에 대한 응급 처치 및 병원 이송 완료"
139,의료지원,"의료지원 시나리오 생성해줘
시간: 13:00
상황: 한 어린아이가 해변에서 모래에 묻혀 호흡 곤란을 겪고 있다.
절차: 1. 신고 접수: 신고자: 부모가 안전 요원에게 신고<br>신고 대상: 해양 경찰 응급 구조 센터<br>신고 내용: 호흡 곤란 발생, 위치 및 상태<br>시간 소요: 1분<br>
2. 초기 대응: 출동 인원: 해양 경찰 응급 의료팀 4명<br>준비 작업: 응급 처치 장비 준비 (산소 마스크 등)<br>시간 소요: 2분<br>
3. 현장 도착: 도착 시간: 4분 이내<br>출동 경로: 해안에서 환자 위치까지 직선 경로<br>시간 소요: 2분<br>
4. 응급 처치: 처치 인원: 응급 의료팀 4명<br>처치 내용: 모래 제거 및 호흡 지원<br>시간 소요: 5분<br>
5. 환자 안정화: 처치 인원: 응급 의료팀 4명<br>처치 내용: 환자의 상태 확인 및 추가 처치<br>시간 소요: 3분<br>
6. 의료 이송: 이송 경로: 해변 응급처치소에서 병원으로 이송<br>이송 시간: 5분<br>추가 처치: 필요 시 추가 응급 처치 실시<br>
목표: 총 17분 이내에 호흡 곤란 환자에 대한 응급 처치 및 병원 이송 완료"
140,의료지원,"의료지원 시나리오 생성해줘
시간: 14:00
상황: 한 성인이 해변에서 두통과 고열 증상을 보이고 있다.
절차: 1. 신고 접수: 신고자: 주변 사람들이 안전 요원에게 신고<br>신고 대상: 해양 경찰 응급 구조 센터<br>신고 내용: 두통 및 고열, 위치 및 상태<br>시간 소요: 1분<br>
2. 초기 대응: 출동 인원: 해양 경찰 응급 의료팀 3명<br>준비 작업: 해열제 및 수액 준비<br>시간 소요: 2분<br>
3. 현장 도착: 도착 시간: 5분 이내<br>출동 경로: 해안에서 환자 위치까지 직선 경로<br>시간 소요: 2분<br>
4. 응급 처치: 처치 인원: 응급 의료팀 3명<br>처치 내용: 해열제 투여 및 수액 공급<br>시간 소요: 5분<br>
5. 환자 안정화: 처치 인원: 응급 의료팀 3명<br>처치 내용: 환자의 상태 확인 및 추가 처치<br>시간 소요: 3분<br>
6. 의료 이송: 이송 경로: 해변 응급처치소에서 병원으로 이송<br>이송 시간: 5분<br>추가 처치: 필요 시 추가 응급 처치 실시<br>
목표: 총 18분 이내에 두통 및 고열 환자에 대한 응급 처치 및 병원 이송 완료"
141,실종,"실종 시나리오 생성해줘
시간: 9:00
상황: 해수욕장에서 한 명의 어린이가 부모와 떨어져 실종되었습니다.
절차: 1. 신고 접수: - 신고자: 부모 - 신고 대상: 해수욕장 안전 요원 - 신고 내용: 어린이 실종, 위치, 인상착의 - 시간 소요: 1분 
2. 초기 대응: - 출동 인원: 안전 요원 4명 - 준비 작업: 무전기, 확성기 준비 - 시간 소요: 2분 
3. 수색 작업: - 수색 인원: 안전 요원 4명 - 수색 구역: 해변 및 인근 지역 - 시간 소요: 5분 
4. 상황 확인: - 확인 인원: 안전 요원 2명 - 확인 내용: 해변 주변, 화장실, 매점 등 - 시간 소요: 3분 5. 후속 조치: - 연락 대상: 해양 경찰 및 추가 인력 요청 - 추가 수색 구역: 해수욕장 외곽 지역 - 시간 소요: 4분
목표: 총 15분 이내에 어린이 발견 및 안전 확인"
142,실종,"실종 시나리오 생성해줘
시간: 10:00
상황: 해수욕장에서 한 명의 청소년이 친구들과 떨어져 실종되었습니다.
절차: 1. 신고 접수: - 신고자: 친구들 - 신고 대상: 해수욕장 안전 요원 - 신고 내용: 청소년 실종, 위치, 인상착의 - 시간 소요: 1분 2. 초기 대응: - 출동 인원: 안전 요원 5명 - 준비 작업: 무전기, 확성기 준비 - 시간 소요: 2분 3. 수색 작업: - 수색 인원: 안전 요원 5명 - 수색 구역: 해변 및 인근 지역 - 시간 소요: 6분 4. 상황 확인: - 확인 인원: 안전 요원 2명 - 확인 내용: 해변 주변, 화장실, 매점 등 - 시간 소요: 3분 5. 후속 조치: - 연락 대상: 해양 경찰 및 추가 인력 요청 - 추가 수색 구역: 해수욕장 외곽 지역 - 시간 소요: 3분
목표: 총 15분 이내에 청소년 발견 및 안전 확인"
143,실종,"실종 시나리오 생성해줘
시간: 11:00
상황: 해수욕장에서 한 명의 성인이 산책 중 실종되었습니다.
절차: 1. 신고 접수: - 신고자: 동행자 - 신고 대상: 해수욕장 안전 요원 - 신고 내용: 성인 실종, 위치, 인상착의 - 시간 소요: 1분 2. 초기 대응: - 출동 인원: 안전 요원 4명 - 준비 작업: 무전기, 확성기 준비 - 시간 소요: 2분 3. 수색 작업: - 수색 인원: 안전 요원 4명 - 수색 구역: 해변 및 인근 지역 - 시간 소요: 5분 4. 상황 확인: - 확인 인원: 안전 요원 2명 - 확인 내용: 해변 주변, 화장실, 매점 등 - 시간 소요: 3분 5. 후속 조치: - 연락 대상: 해양 경찰 및 추가 인력 요청 - 추가 수색 구역: 해수욕장 외곽 지역 - 시간 소요: 4분
목표: 총 15분 이내에 성인 발견 및 안전 확인"
144,실종,"실종 시나리오 생성해줘
시간: 12:00
상황: 해수욕장에서 한 명의 관광객이 수영 중 실종되었습니다.
절차: 1. 신고 접수: - 신고자: 동행자 - 신고 대상: 해수욕장 안전 요원 - 신고 내용: 관광객 실종, 위치, 인상착의 - 시간 소요: 1분 2. 초기 대응: - 출동 인원: 안전 요원 5명 - 준비 작업: 무전기, 확성기 준비 - 시간 소요: 2분 3. 수색 작업: - 수색 인원: 안전 요원 5명 - 수색 구역: 해변 및 인근 지역 - 시간 소요: 6분 4. 상황 확인: - 확인 인원: 안전 요원 2명 - 확인 내용: 해변 주변, 화장실, 매점 등 - 시간 소요: 3분 5. 후속 조치: - 연락 대상: 해양 경찰 및 추가 인력 요청 - 추가 수색 구역: 해수욕장 외곽 지역 - 시간 소요: 3분
목표: 총 15분 이내에 관광객 발견 및 안전 확인"
145,실종,"실종 시나리오 생성해줘
시간: 13:00
상황: 해수욕장에서 한 명의 노인이 산책 중 실종되었습니다.
절차: 1. 신고 접수: - 신고자: 가족 - 신고 대상: 해수욕장 안전 요원 - 신고 내용: 노인 실종, 위치, 인상착의 - 시간 소요: 1분 2. 초기 대응: - 출동 인원: 안전 요원 4명 - 준비 작업: 무전기, 확성기 준비 - 시간 소요: 2분 3. 수색 작업: - 수색 인원: 안전 요원 4명 - 수색 구역: 해변 및 인근 지역 - 시간 소요: 5분 4. 상황 확인: - 확인 인원: 안전 요원 2명 - 확인 내용: 해변 주변, 화장실, 매점 등 - 시간 소요: 3분 5. 후속 조치: - 연락 대상: 해양 경찰 및 추가 인력 요청 - 추가 수색 구역: 해수욕장 외곽 지역 - 시간 소요: 4분
목표: 총 15분 이내에 노인 발견 및 안전 확인"
146,실종,"실종 시나리오 생성해줘
시간: 14:00
상황: 해수욕장에서 한 명의 어린이가 부모와 떨어져 실종되었습니다.
절차: 1. 신고 접수: - 신고자: 부모 - 신고 대상: 해수욕장 안전 요원 - 신고 내용: 어린이 실종, 위치, 인상착의 - 시간 소요: 1분 2. 초기 대응: - 출동 인원: 안전 요원 4명 - 준비 작업: 무전기, 확성기 준비 - 시간 소요: 2분 3. 수색 작업: - 수색 인원: 안전 요원 4명 - 수색 구역: 해변 및 인근 지역 - 시간 소요: 5분 4. 상황 확인: - 확인 인원: 안전 요원 2명 - 확인 내용: 해변 주변, 화장실, 매점 등 - 시간 소요: 3분 5. 후속 조치: - 연락 대상: 해양 경찰 및 추가 인력 요청 - 추가 수색 구역: 해수욕장 외곽 지역 - 시간 소요: 4분
목표: 총 15분 이내에 어린이 발견 및 안전 확인"
147,실종,"실종 시나리오 생성해줘
시간: 15:00
상황: 해수욕장에서 한 명의 청소년이 친구들과 떨어져 실종되었습니다.
절차: 1. 신고 접수: - 신고자: 친구들 - 신고 대상: 해수욕장 안전 요원 - 신고 내용: 청소년 실종, 위치, 인상착의 - 시간 소요: 1분 2. 초기 대응: - 출동 인원: 안전 요원 5명 - 준비 작업: 무전기, 확성기 준비 - 시간 소요: 2분 3. 수색 작업: - 수색 인원: 안전 요원 5명 - 수색 구역: 해변 및 인근 지역 - 시간 소요: 6분 4. 상황 확인: - 확인 인원: 안전 요원 2명 - 확인 내용: 해변 주변, 화장실, 매점 등 - 시간 소요: 3분 5. 후속 조치: - 연락 대상: 해양 경찰 및 추가 인력 요청 - 추가 수색 구역: 해수욕장 외곽 지역 - 시간 소요: 3분
목표: 총 15분 이내에 청소년 발견 및 안전 확인"
148,실종,"실종 시나리오 생성해줘
시간: 16:00
상황: 해수욕장에서 한 명의 성인이 수영 중 실종되었습니다.
절차: 1. 신고 접수: - 신고자: 동행자 - 신고 대상: 해수욕장 안전 요원 - 신고 내용: 성인 실종, 위치, 인상착의 - 시간 소요: 1분 2. 초기 대응: - 출동 인원: 안전 요원 5명 - 준비 작업: 무전기, 확성기 준비 - 시간 소요: 2분 3. 수색 작업: - 수색 인원: 안전 요원 5명 - 수색 구역: 해변 및 인근 지역 - 시간 소요: 6분 4. 상황 확인: - 확인 인원: 안전 요원 2명 - 확인 내용: 해변 주변, 화장실, 매점 등 - 시간 소요: 3분 5. 후속 조치: - 연락 대상: 해양 경찰 및 추가 인력 요청 - 추가 수색 구역: 해수욕장 외곽 지역 - 시간 소요: 3분
목표: 총 15분 이내에 성인 발견 및 안전 확인"
149,실종,"실종 시나리오 생성해줘
시간: 17:00
상황: 해수욕장에서 한 명의 노인이 산책 중 실종되었습니다.
절차: 1. 신고 접수: - 신고자: 가족 - 신고 대상: 해수욕장 안전 요원 - 신고 내용: 노인 실종, 위치, 인상착의 - 시간 소요: 1분 2. 초기 대응: - 출동 인원: 안전 요원 4명 - 준비 작업: 무전기, 확성기 준비 - 시간 소요: 2분 3. 수색 작업: - 수색 인원: 안전 요원 4명 - 수색 구역: 해변 및 인근 지역 - 시간 소요: 5분 4. 상황 확인: - 확인 인원: 안전 요원 2명 - 확인 내용: 해변 주변, 화장실, 매점 등 - 시간 소요: 3분 5. 후속 조치: - 연락 대상: 해양 경찰 및 추가 인력 요청 - 추가 수색 구역: 해수욕장 외곽 지역 - 시간 소요: 4분
목표: 총 15분 이내에 노인 발견 및 안전 확인"
150,실종,"실종 시나리오 생성해줘
시간: 18:00
상황: 해수욕장에서 한 명의 어린이가 부모와 떨어져 실종되었습니다.
절차: 1. 신고 접수: - 신고자: 부모 - 신고 대상: 해수욕장 안전 요원 - 신고 내용: 어린이 실종, 위치, 인상착의 - 시간 소요: 1분 2. 초기 대응: - 출동 인원: 안전 요원 4명 - 준비 작업: 무전기, 확성기 준비 - 시간 소요: 2분 3. 수색 작업: - 수색 인원: 안전 요원 4명 - 수색 구역: 해변 및 인근 지역 - 시간 소요: 5분 4. 상황 확인: - 확인 인원: 안전 요원 2명 - 확인 내용: 해변 주변, 화장실, 매점 등 - 시간 소요: 3분 5. 후속 조치: - 연락 대상: 해양 경찰 및 추가 인력 요청 - 추가 수색 구역: 해수욕장 외곽 지역 - 시간 소요: 4분
목표: 총 15분 이내에 어린이 발견 및 안전 확인"
151,실종,"실종 시나리오 생성해줘
시간: 19:00
상황: 해수욕장에서 한 명의 청소년이 친구들과 떨어져 실종되었습니다.
절차: 1. 신고 접수: - 신고자: 친구들 - 신고 대상: 해수욕장 안전 요원 - 신고 내용: 청소년 실종, 위치, 인상착의 - 시간 소요: 1분 2. 초기 대응: - 출동 인원: 안전 요원 5명 - 준비 작업: 무전기, 확성기 준비 - 시간 소요: 2분 3. 수색 작업: - 수색 인원: 안전 요원 5명 - 수색 구역: 해변 및 인근 지역 - 시간 소요: 6분 4. 상황 확인: - 확인 인원: 안전 요원 2명 - 확인 내용: 해변 주변, 화장실, 매점 등 - 시간 소요: 3분 5. 후속 조치: - 연락 대상: 해양 경찰 및 추가 인력 요청 - 추가 수색 구역: 해수욕장 외곽 지역 - 시간 소요: 3분
목표: 총 15분 이내에 청소년 발견 및 안전 확인"
152,실종,"실종 시나리오 생성해줘
시간: 20:00
상황: 해수욕장에서 한 명의 성인이 수영 중 실종되었습니다.
절차: 1. 신고 접수: - 신고자: 동행자 - 신고 대상: 해수욕장 안전 요원 - 신고 내용: 성인 실종, 위치, 인상착의 - 시간 소요: 1분 2. 초기 대응: - 출동 인원: 안전 요원 5명 - 준비 작업: 무전기, 확성기 준비 - 시간 소요: 2분 3. 수색 작업: - 수색 인원: 안전 요원 5명 - 수색 구역: 해변 및 인근 지역 - 시간 소요: 6분 4. 상황 확인: - 확인 인원: 안전 요원 2명 - 확인 내용: 해변 주변, 화장실, 매점 등 - 시간 소요: 3분 5. 후속 조치: - 연락 대상: 해양 경찰 및 추가 인력 요청 - 추가 수색 구역: 해수욕장 외곽 지역 - 시간 소요: 3분
목표: 총 15분 이내에 성인 발견 및 안전 확인"
153,실종,"실종 시나리오 생성해줘
시간: 21:00
상황: 해수욕장에서 한 명의 노인이 산책 중 실종되었습니다.
절차: 1. 신고 접수: - 신고자: 가족 - 신고 대상: 해수욕장 안전 요원 - 신고 내용: 노인 실종, 위치, 인상착의 - 시간 소요: 1분 2. 초기 대응: - 출동 인원: 안전 요원 4명 - 준비 작업: 무전기, 확성기 준비 - 시간 소요: 2분 3. 수색 작업: - 수색 인원: 안전 요원 4명 - 수색 구역: 해변 및 인근 지역 - 시간 소요: 5분 4. 상황 확인: - 확인 인원: 안전 요원 2명 - 확인 내용: 해변 주변, 화장실, 매점 등 - 시간 소요: 3분 5. 후속 조치: - 연락 대상: 해양 경찰 및 추가 인력 요청 - 추가 수색 구역: 해수욕장 외곽 지역 - 시간 소요: 4분
목표: 총 15분 이내에 노인 발견 및 안전 확인"
154,실종,"실종 시나리오 생성해줘
시간: 22:00
상황: 해수욕장에서 한 명의 어린이가 부모와 떨어져 실종되었습니다.
절차: 1. 신고 접수: - 신고자: 부모 - 신고 대상: 해수욕장 안전 요원 - 신고 내용: 어린이 실종, 위치, 인상착의 - 시간 소요: 1분 2. 초기 대응: - 출동 인원: 안전 요원 4명 - 준비 작업: 무전기, 확성기 준비 - 시간 소요: 2분 3. 수색 작업: - 수색 인원: 안전 요원 4명 - 수색 구역: 해변 및 인근 지역 - 시간 소요: 5분 4. 상황 확인: - 확인 인원: 안전 요원 2명 - 확인 내용: 해변 주변, 화장실, 매점 등 - 시간 소요: 3분 5. 후속 조치: - 연락 대상: 해양 경찰 및 추가 인력 요청 - 추가 수색 구역: 해수욕장 외곽 지역 - 시간 소요: 4분
목표: 총 15분 이내에 어린이 발견 및 안전 확인"
155,실종,"실종 시나리오 생성해줘
시간: 23:00
상황: 해수욕장에서 한 명의 청소년이 친구들과 떨어져 실종되었습니다.
절차: 1. 신고 접수: - 신고자: 친구들 - 신고 대상: 해수욕장 안전 요원 - 신고 내용: 청소년 실종, 위치, 인상착의 - 시간 소요: 1분 2. 초기 대응: - 출동 인원: 안전 요원 5명 - 준비 작업: 무전기, 확성기 준비 - 시간 소요: 2분 3. 수색 작업: - 수색 인원: 안전 요원 5명 - 수색 구역: 해변 및 인근 지역 - 시간 소요: 6분 4. 상황 확인: - 확인 인원: 안전 요원 2명 - 확인 내용: 해변 주변, 화장실, 매점 등 - 시간 소요: 3분 5. 후속 조치: - 연락 대상: 해양 경찰 및 추가 인력 요청 - 추가 수색 구역: 해수욕장 외곽 지역 - 시간 소요: 3분
목표: 총 15분 이내에 청소년 발견 및 안전 확인"
156,실종,"실종 시나리오 생성해줘
시간: 0:00
상황: 해수욕장에서 한 명의 성인이 수영 중 실종되었습니다.
절차: 1. 신고 접수: - 신고자: 동행자 - 신고 대상: 해수욕장 안전 요원 - 신고 내용: 성인 실종, 위치, 인상착의 - 시간 소요: 1분 2. 초기 대응: - 출동 인원: 안전 요원 5명 - 준비 작업: 무전기, 확성기 준비 - 시간 소요: 2분 3. 수색 작업: - 수색 인원: 안전 요원 5명 - 수색 구역: 해변 및 인근 지역 - 시간 소요: 6분 4. 상황 확인: - 확인 인원: 안전 요원 2명 - 확인 내용: 해변 주변, 화장실, 매점 등 - 시간 소요: 3분 5. 후속 조치: - 연락 대상: 해양 경찰 및 추가 인력 요청 - 추가 수색 구역: 해수욕장 외곽 지역 - 시간 소요: 3분
목표: 총 15분 이내에 성인 발견 및 안전 확인"
157,실종,"실종 시나리오 생성해줘
시간: 1:00
상황: 해수욕장에서 한 명의 노인이 산책 중 실종되었습니다.
절차: 1. 신고 접수: - 신고자: 가족 - 신고 대상: 해수욕장 안전 요원 - 신고 내용: 노인 실종, 위치, 인상착의 - 시간 소요: 1분 2. 초기 대응: - 출동 인원: 안전 요원 4명 - 준비 작업: 무전기, 확성기 준비 - 시간 소요: 2분 3. 수색 작업: - 수색 인원: 안전 요원 4명 - 수색 구역: 해변 및 인근 지역 - 시간 소요: 5분 4. 상황 확인: - 확인 인원: 안전 요원 2명 - 확인 내용: 해변 주변, 화장실, 매점 등 - 시간 소요: 3분 5. 후속 조치: - 연락 대상: 해양 경찰 및 추가 인력 요청 - 추가 수색 구역: 해수욕장 외곽 지역 - 시간 소요: 4분
목표: 총 15분 이내에 노인 발견 및 안전 확인"
